DoriC AC	RefSeq	Organsim	Taxonomy	Genome Length	oriC location	dnaA box number	dnaA location	The extremes of GC disparity
ORI94030390	NC_015677.1	Ramlibacter tataouinensis TTB310 chromosome	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Ramlibacter.	4070193 nt	22953..23247 nt	4	52..1464 nt	3964148 nt (minimum), 2092236 nt (maximum)
ORI94030391	NC_015682.1	Thermodesulfobacterium sp. OPB45 chromosome	Bacteria, Thermodesulfobacteria, Thermodesulfobacteriales, Thermodesulfobacteriaceae, Thermodesulfobacterium.	1634377 nt	284193..284311 nt	3	34..1380 nt	251415 nt (minimum), 1313238 nt (maximum)
ORI94030392	NC_015702.1	Parachlamydia acanthamoebae UV7	Bacteria, Chlamydiae, Chlamydiales, Parachlamydiaceae, Parachlamydia.	3072383 nt	1682..2247 nt	6	1406688..1408082, 2493900..2495246 nt	3072376 nt (minimum), 1559873 nt (maximum)
ORI94030393	NC_015703.1	Runella slithyformis DSM 19594 chromosome	Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Runella.	6568739 nt	2001228..2001631 nt	8	123..1550 nt	2019709 nt (minimum), 5283841 nt (maximum)
ORI94030394	NC_015707.1	Thermotoga thermarum DSM 5069 chromosome	Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga.	2039943 nt	2026649..2028223 nt	7	57..1379 nt	12255 nt (minimum), 2002163 nt (maximum)
ORI94030395	NC_015709.1	Zymomonas mobilis subsp. pomaceae ATCC 29192 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Zymomonas.	1989865 nt	1358539..1360169 nt	10	1218..2669, 613227..613856 nt	1380652 nt (minimum), 227651 nt (maximum)
ORI94030396	NC_015711.1	Myxococcus fulvus HW-1 chromosome	Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Myxococcus.	9003593 nt	2049995..2050359 nt	3	2084722..2086014 nt	2074772 nt (minimum), 6533836 nt (maximum)
ORI94030397	NC_015713.1	Simkania negevensis Z chromosome gsn.131	Bacteria, Chlamydiae, Chlamydiales, Simkaniaceae, Simkania.	2496337 nt	2491276..2492373 nt	3	497654..498991, 1484278..1485570 nt	2496322 nt (minimum), 1216329 nt (maximum)
ORI94030398	NC_015730.1	Roseobacter litoralis Och 149 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Roseobacter.	4505211 nt	4210918..4211365 nt	4	101..1465 nt	4115069 nt (minimum), 1963791 nt (maximum)
ORI94030399	NC_015744.1	Chlamydia trachomatis L2c chromosome	Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia.	1038313 nt	1038016..1041 nt	6	598050..599420, 624589..625956 nt	114 nt (minimum), 513750 nt (maximum)
ORI94030400	NC_015761.1	Salmonella bongori NCTC 12419	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella.	4460105 nt	3766944..3767321 nt	4	3730778..3732178 nt	3766907 nt (minimum), 1504195 nt (maximum)
ORI94030401	NC_015844.1	Zobellia galactanivorans	Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Flavobacteriaceae, Zobellia.	5521712 nt	2000330..2000993 nt	3	139..1563 nt	2001138 nt (minimum), 5023538 nt (maximum)
ORI94030402	NC_015846.1	Capnocytophaga canimorsus Cc5 chromosome	Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Flavobacteriaceae, Capnocytophaga.	2571406 nt	2531769..2532693 nt	3	896101..897378 nt	2466265 nt (minimum), 1215131 nt (maximum)
ORI94030403	NC_015856.1	Collimonas fungivorans Ter331 chromosome	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Collimonas.	5186898 nt	5094389..5095227 nt	8	1..1431, 2494826..2495668, 4521636..4522337 nt	5144573 nt (minimum), 2501589 nt (maximum)
ORI94030404	NC_015857.1	Brucella pinnipedialis B2/94 chromosome chromosome 1	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella.	2138342 nt	2024238..2024689 nt	3	785..2275 nt	2025609 nt (minimum), 1058573 nt (maximum)
ORI94030405	NC_015866.1	Rickettsia heilongjiangensis 054 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1278471 nt	1..395 nt	6	874229..875620 nt	8 nt (minimum), 739712 nt (maximum)
ORI94030406	NC_015914.1	Cyclobacterium marinum DSM 745 chromosome	Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae, Cyclobacterium.	6221273 nt	2105451..2106301 nt	7	84..1508 nt	2083554 nt (minimum), 5154971 nt (maximum)
ORI95030407	NC_015945.1	Muricauda ruestringensis DSM 13258 chromosome	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Muricauda.	3842422 nt	1428186..1428778 nt	4	108..1532 nt	1413540 nt (minimum), 3500048 nt (maximum)
ORI95030408	NC_015947.1	Stenotrophomonas maltophilia JV3 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, Stenotrophomonas maltophilia group.	4544477 nt	2896..3885 nt	3	188..1519 nt	17489 nt (minimum), 2237504 nt (maximum)
ORI95030409	NC_015964.1	Haemophilus parainfluenzae T3T1	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus.	2086875 nt	578938..579366 nt	4	53151..54518 nt	580169 nt (minimum), 1678303 nt (maximum)
ORI95030410	NC_015976.1	Sphingobium sp. SYK-6 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingobium.	4199332 nt	4199195..153 nt	3	308102..309568 nt	4195753 nt (minimum), 1920704 nt (maximum)
ORI95030411	NC_016001.1	Flavobacterium branchiophilum FL-15	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium.	3559884 nt	3559554..488 nt	4	598059..599486 nt	10764 nt (minimum), 1868745 nt (maximum)
ORI95030412	NC_016002.1	Pseudogulbenkiania sp. NH8B	Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Pseudogulbenkiania.	4332995 nt	4225063..4225558 nt	8	246..1646 nt	4994 nt (minimum), 2173710 nt (maximum)
ORI95030413	NC_016027.1	Gluconacetobacter xylinus NBRC 3288	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Gluconacetobacter.	3136818 nt	2007248..2007536 nt	3	127..1590, 2980047..2980883 nt	2015240 nt (minimum), 466675 nt (maximum)
ORI95030414	NC_016050.1	Rickettsia japonica YH	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1283087 nt	1282693..1283087 nt	6	910644..912035 nt	109 nt (minimum), 741812 nt (maximum)
ORI95030415	NC_016114.1	Streptomyces flavogriseus ATCC 33331 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces.	7337497 nt	3685576..3686656 nt	4	3891278..3892381 nt	6961840 nt (minimum), 4670789 nt (maximum)
ORI95030416	NC_016146.1	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR chromosome	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Blattabacteriaceae, Blattabacterium.	587248 nt	260657..261156 nt	3	-	587175 nt (minimum), 208128 nt (maximum)
ORI95030417	NC_016445.1	Vibrio cholerae O1 str. 2010EL-1786 chromosome chromosome 1	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio.	3031375 nt	2553837..2554310 nt	5	2545393..2546796 nt	2555260 nt (minimum), 1041079 nt (maximum)
ORI95030418	NC_016446.1	Vibrio cholerae O1 str. 2010EL-1786 chromosome chromosome 2	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio.	1046365 nt	773081..773967 nt	8	-	772215 nt (minimum), 207600 nt (maximum)
ORI95030419	NC_016510.1	Flavobacterium columnare ATCC 49512 chromosome	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium.	3162865 nt	2044021..2044152 nt	6	1134887..1136314 nt	2927580 nt (minimum), 867087 nt (maximum)
ORI95030420	NC_016513.1	Aggregatibacter actinomycetemcomitans ANH9381 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Aggregatibacter.	2136808 nt	590367..590808 nt	4	127286..128647, 238528..239970 nt	830943 nt (minimum), 1582770 nt (maximum)
ORI95030421	NC_016589.1	Burkholderia sp. YI23 chromosome chromosome 1	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia.	3131280 nt	3044974..3045700 nt	4	754..1587 nt	3045818 nt (minimum), 1438560 nt (maximum)
ORI95030422	NC_016590.1	Burkholderia sp. YI23 chromosome chromosome 3	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia.	1569570 nt	1269418..1270934 nt	5	-	1279146 nt (minimum), 489210 nt (maximum)
ORI95030423	NC_016609.1	Niastella koreensis GR20-10 chromosome	Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Chitinophagaceae, Niastella.	9033684 nt	7836170..7836739 nt	4	144..1577 nt	7835282 nt (minimum), 2747919 nt (maximum)
ORI95030424	NC_016621.1	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu chromosome	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Blattabacteriaceae, Blattabacterium.	605745 nt	508624..509091 nt	3	-	1 nt (minimum), 455420 nt (maximum)
ORI95030425	NC_016622.1	Azospirillum lipoferum 4B	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Azospirillum.	2988332 nt	2854941..2855391 nt	5	719..2290 nt	25620 nt (minimum), 1303939 nt (maximum)
ORI95030426	NC_016625.1	Burkholderia sp. YI23 chromosome chromosome 2	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia.	1773019 nt	1519248..1519597 nt	4	-	1539146 nt (minimum), 718071 nt (maximum)
ORI95030427	NC_016632.1	Serratia symbiotica str. 'Cinara cedri' chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Serratia, Serratia symbiotica.	1762765 nt	1761468..1762765 nt	7	1713979..1715379 nt	64 nt (minimum), 859971 nt (maximum)
ORI95030428	NC_016639.1	Rickettsia slovaca 13-B chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1275089 nt	1274650..1275089 nt	6	871060..872451 nt	109 nt (minimum), 712804 nt (maximum)
ORI95030429	NC_016745.1	Oceanimonas sp. GK1 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Oceanimonas.	3514537 nt	458207..458729 nt	5	397326..398714 nt	462314 nt (minimum), 2236768 nt (maximum)
ORI95030430	NC_016778.1	Brucella canis HSK A52141 chromosome chromosome 1	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella.	2107023 nt	1167908..1168359 nt	3	1052142..1053725 nt	1166982 nt (minimum), 2106687 nt (maximum)
ORI95030431	NC_016795.1	Brucella abortus A13334 chromosome chromosome 1	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella.	2123773 nt	407310..407761 nt	3	291766..293349, 1830137..1830592 nt	406384 nt (minimum), 1367741 nt (maximum)
ORI95030432	NC_016797.1	Brucella suis VBI22 chromosome chromosome I	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella.	2108637 nt	1994699..1995150 nt	3	784..2274 nt	1996070 nt (minimum), 1032765 nt (maximum)
ORI95030433	NC_016798.1	Chlamydia trachomatis A2497	Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia.	1044325 nt	722560..722856 nt	3	282017..283387, 308558..309925 nt	722971 nt (minimum), 197044 nt (maximum)
ORI95030434	NC_016808.1	Pasteurella multocida 36950 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Pasteurella.	2349518 nt	1861345..1861831 nt	3	101..1456 nt	1861809 nt (minimum), 712618 nt (maximum)
ORI95030435	NC_016809.1	Haemophilus influenzae 10810	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus.	1981535 nt	711708..712214 nt	3	1162674..1164038 nt	727590 nt (minimum), 1621903 nt (maximum)
ORI95030436	NC_016810.1	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella, Salmonella enterica subsp. enterica serovar Typhimurium.	4878012 nt	4105099..4105476 nt	4	4064938..4066338 nt	4105675 nt (minimum), 1592919 nt (maximum)
ORI95030437	NC_016812.1	Sinorhizobium fredii HH103	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium.	4305723 nt	3803952..3804357 nt	3	946518..947207, 1965643..1966296, 3664630..3665367 nt	3774896 nt (minimum), 1584985 nt (maximum)
ORI95030438	NC_016816.1	Pantoea ananatis LMG 5342	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Pantoea.	4605545 nt	77374..77805 nt	4	1..1407 nt	76411 nt (minimum), 2368227 nt (maximum)
ORI95030439	NC_016818.1	Rahnella aquatilis CIP 78.65 = ATCC 33071 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Rahnella.	4861101 nt	4828078..4828456 nt	3	489..1880 nt	899 nt (minimum), 2477210 nt (maximum)
ORI95030440	NC_016822.1	Shigella sonnei 53G	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Shigella.	4988504 nt	4231325..4231702 nt	3	3992414..3993817 nt	3974170 nt (minimum), 1697354 nt (maximum)
ORI95030441	NC_016831.1	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella, Salmonella enterica subsp. enterica serovar Gallinarum/pullorum.	4637962 nt	3728993..3729388 nt	4	3763773..3765173 nt	3728809 nt (minimum), 1373415 nt (maximum)
ORI95030442	NC_016856.1	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella, Salmonella enterica subsp. enterica serovar Typhimurium.	4870265 nt	4097481..4097858 nt	4	4057317..4058717 nt	4098057 nt (minimum), 1646043 nt (maximum)
ORI95030443	NC_016857.1	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella, Salmonella enterica subsp. enterica serovar Typhimurium.	4878013 nt	4105100..4105477 nt	4	4064939..4066351 nt	4105676 nt (minimum), 1592919 nt (maximum)
ORI95030444	NC_016863.1	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella, Salmonella enterica subsp. enterica serovar Typhimurium.	4817868 nt	4045087..4045464 nt	4	4004924..4006324 nt	4045663 nt (minimum), 1594235 nt (maximum)
ORI95030446	NC_016893.1	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony) chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Wigglesworthia.	719535 nt	718864..179 nt	5	-	1 nt (minimum), 687950 nt (maximum)
ORI95030447	NC_016902.1	Escherichia coli KO11FL chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia.	4920168 nt	4872801..4873178 nt	3	46..1449 nt	860 nt (minimum), 2444510 nt (maximum)
ORI95030448	NC_016908.1	Rickettsia rickettsii str. Colombia chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1270083 nt	1269689..1270083 nt	6	866446..867837 nt	109 nt (minimum), 704647 nt (maximum)
ORI95030449	NC_016909.1	Rickettsia rickettsii str. Arizona chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1267197 nt	1266803..1267197 nt	6	866552..867943 nt	109 nt (minimum), 704627 nt (maximum)
ORI95030450	NC_016911.1	Rickettsia rickettsii str. Hauke chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1269774 nt	1269380..1269774 nt	6	866919..868310 nt	109 nt (minimum), 704723 nt (maximum)
ORI95030451	NC_016913.1	Rickettsia rickettsii str. Brazil chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1255681 nt	1168859..1169253 nt	6	312391..313782 nt	1168739 nt (minimum), 465110 nt (maximum)
ORI95030452	NC_016914.1	Rickettsia rickettsii str. Hino chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1269837 nt	1269443..1269837 nt	6	7036..868427 nt	109 nt (minimum), 704842 nt (maximum)
ORI95030453	NC_016915.1	Rickettsia rickettsii str. Hlp#2 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1270751 nt	1270357..1270751 nt	6	867619..869010 nt	1270329 nt (minimum), 418320 nt (maximum)
ORI95030454	NC_016929.1	Rickettsia canadensis str. CA410 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group.	1150228 nt	1149843..1150228 nt	6	403420..404811 nt	1143083 nt (minimum), 515836 nt (maximum)
ORI95030455	NC_016930.1	Rickettsia philipii str. 364D chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1287740 nt	1287346..1287740 nt	6	883119..884510 nt	109 nt (minimum), 727401 nt (maximum)
ORI95030456	NC_016931.1	Rickettsia massiliae str. AZT80 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1263719 nt	1263331..1263719 nt	6	591803..593194 nt	130692 nt (minimum), 717847 nt (maximum)
ORI95030457	NC_016940.1	Saprospira grandis str. Lewin chromosome	Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Saprospiraceae, Saprospira.	4345237 nt	2044618..2045177 nt	8	137..1642 nt	2052643 nt (minimum), 5 nt (maximum)
ORI95030458	NC_016940.1	Saprospira grandis str. Lewin chromosome	Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Saprospiraceae, Saprospira.	4345237 nt	2052544..2053236 nt	10	137..1642 nt	2052643 nt (minimum), 5 nt (maximum)
ORI95030459	NC_016945.1	Vibrio cholerae IEC224 chromosome chromosome II	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio.	1072136 nt	1072036..1133 nt	6	-	79 nt (minimum), 506879 nt (maximum)
ORI95030460	NC_017025.1	Flavobacterium indicum GPTSA100-9	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium.	2993089 nt	2990883..2991461 nt	7	817603..819033 nt	170 nt (minimum), 1522399 nt (maximum)
ORI95030461	NC_017027.1	Pasteurella multocida subsp. multocida str. HN06 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Pasteurella.	2402218 nt	1857831..1858317 nt	3	1..1356 nt	1858295 nt (minimum), 700692 nt (maximum)
ORI95030462	NC_017028.1	Candidatus Rickettsia amblyommii str. GAT-30V chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1407796 nt	78401..78798 nt	6	1070261..1071652 nt	235103 nt (minimum), 1014391 nt (maximum)
ORI95030463	NC_017038.1	Synechocystis sp. PCC 6803 substr. GT-I	Bacteria, Cyanobacteria, Chroococcales, Synechocystis.	3570004 nt	324164..324830 nt	5	1349155..1350498 nt	91765 nt (minimum), 3097007 nt (maximum)
ORI95030464	NC_017039.1	Synechocystis sp. PCC 6803 substr. PCC-P	Bacteria, Cyanobacteria, Chroococcales, Synechocystis.	3570114 nt	324164..324830 nt	5	1349263..1350606 nt	91765 nt (minimum), 3097117 nt (maximum)
ORI95030465	NC_017042.1	Rickettsia rhipicephali str. 3-7-female6-CWPP chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1290368 nt	110342..110728 nt	6	960932..962323 nt	130569 nt (minimum), 839698 nt (maximum)
ORI95030466	NC_017043.1	Rickettsia montanensis str. OSU 85-930 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1279798 nt	720739..721133 nt	6	321467..322858 nt	712544 nt (minimum), 1279798 nt (maximum)
ORI95030467	NC_017044.1	Rickettsia parkeri str. Portsmouth chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1300386 nt	2709..3103 nt	6	897673..899064 nt	2688 nt (minimum), 741998 nt (maximum)
ORI95030468	NC_017045.1	Riemerella anatipestifer DSM 15868 chromosome	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Riemerella.	2164087 nt	1353610..1354352 nt	5	160387..161865 nt	1341834 nt (minimum), 437718 nt (maximum)
ORI95030469	NC_017046.1	Salmonella enterica subsp. enterica serovar Typhimurium str. 798 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella.	4876219 nt	4103935..4104312 nt	4	4063774..4065186 nt	4104511 nt (minimum), 1592803 nt (maximum)
ORI95030470	NC_017048.1	Rickettsia prowazekii str. GvV257 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group.	1111969 nt	341552..341936 nt	6	1098988..1100379 nt	336262 nt (minimum), 970353 nt (maximum)
ORI95030471	NC_017049.1	Rickettsia prowazekii str. Chernikova chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group.	1109804 nt	1109421..1109804 nt	6	754983..756374 nt	97 nt (minimum), 626304 nt (maximum)
ORI95030472	NC_017050.1	Rickettsia prowazekii str. Katsinyian chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group.	1111454 nt	1111071..1111454 nt	6	756861..758252 nt	97 nt (minimum), 628174 nt (maximum)
ORI95030473	NC_017051.1	Rickettsia prowazekii str. Dachau chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group.	1109051 nt	1108668..1109051 nt	6	754998..756389 nt	97 nt (minimum), 626315 nt (maximum)
ORI95030474	NC_017052.1	Synechocystis sp. PCC 6803 substr. PCC-N	Bacteria, Cyanobacteria, Chroococcales, Synechocystis.	3570103 nt	324152..324818 nt	5	1349251..1350594 nt	91765 nt (minimum), 3097106 nt (maximum)
ORI95030475	NC_017056.1	Rickettsia prowazekii str. BuV67-CWPP chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group.	1111445 nt	1111062..1111445 nt	6	756860..758251 nt	97 nt (minimum), 628153 nt (maximum)
ORI95030476	NC_017057.1	Rickettsia prowazekii str. RpGvF24 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group.	1112101 nt	1111717..1112101 nt	6	757086..758477 nt	97 nt (minimum), 628401 nt (maximum)
ORI95030477	NC_017058.1	Rickettsia australis str. Cutlack chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group.	1296670 nt	170040..170432 nt	6	576163..577554 nt	30420 nt (minimum), 713858 nt (maximum)
ORI10040001	NC_000912.1	Mycoplasma pneumoniae M129	Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	816394 nt	816339..691 nt	0	813468..814787 nt	2236 nt (minimum), 417653 nt (maximum)
ORI10040002	NC_000918.1	Aquifex aeolicus VF5	Bacteria, Aquificae, Aquificales, Aquificaceae, Aquifex.	1551335 nt	209842..209931 nt	1	208642..209841 nt	343910 nt (minimum), 1540379 nt (maximum)
ORI10040003	NC_000962.1	Mycobacterium tuberculosis H37Rv	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex.	4411532 nt	1525..2051 nt	1	1..1524 nt	4411232 nt (minimum), 2044792 nt (maximum)
ORI10040004	NC_001318.1	BBUR Borrelia burgdorferi B31	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Borrelia, Borrelia burgdorferi group.	910724 nt	458037..458276 nt	1	456576..458036 nt	458236 nt (minimum), 160 nt (maximum)
ORI92340005	NC_002162.1	Ureaplasma parvum serovar 3 str. ATCC 700970	Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Ureaplasma.	751719 nt	751550..751719 nt	1	1..1374 nt	40284 nt (minimum), 455544 nt (maximum)
ORI10040006	NC_002528.1	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Buchnera.	640681 nt	640442..196 nt	1	12554..13918 nt	8 nt (minimum), 339974 nt (maximum)
ORI10040007	NC_002678.1	Mesorhizobium loti MAFF303099	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium.	7036071 nt	4478943..4479797 nt	2	4477398..4478942 nt	4369467 nt (minimum), 214958 nt (maximum)
ORI10040008	NC_002696.1	Caulobacter crescentus CB15	Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Caulobacter.	4016947 nt	4016703..234 nt	1	5636..7108 nt	4011570 nt (minimum), 1930204 nt (maximum)
